,brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,image
724,Lenovo,IdeaPad Flex 5 82XX007KIN Laptop,64990,69.0,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,LPDDR4X,512GB,SSD,AMD Radeon AMD,14.0,1920,1200,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iIdJA1EEX-w420-h420/lenovo-ideapad-flex.jpg
725,Acer,Nitro 16 ‎AN16-41 Gaming Laptop,129990,80.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,16.0,1920,1200,Windows 11 OS,1,https://th.bing.com/th/id/OIP.83yjIs4A1bCR1iGQfcQTCQAAAA?rs=1&pid=ImgDetMain
726,Acer,Nitro 16 ‎AN16-41 2023 Gaming Laptop,114990,78.0,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",8GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,16.0,1920,1200,Windows 11 OS,1,https://th.bing.com/th/id/OIP.83yjIs4A1bCR1iGQfcQTCQAAAA?rs=1&pid=ImgDetMain
727,Acer,Aspire 5 2023 A515-58M Gaming Laptop,80000,69.32352941,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",8GB,LPDDR5,512GB,SSD,4GB NVIDIA GeForce RTX2050,15.6,1920,1080,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iThTB2u49-w1200-h1200/ThTB2u49.jpg
728,Acer,Aspire 5 15 A515-58M Gaming Laptop,54990,60.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,512GB,SSD,4GB NVIDIA GeForce RTX2050,15.6,1920,1080,Windows 11 OS,1,https://s13emagst.akamaized.net/products/55792/55791697/images/res_1ba8a1dfcadd688f102e14e8d5ebf1ee.jpg
729,LG,Gram 14 2023 ‎‎14Z90R-G.CH54A2 Laptop,98999,67.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14.0,1200,1920,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iTMLlEP7N-w1200-h1200/TMLlEP7N.jpg
730,Dell,Latitude 5420 Business Laptop,69990,62.0,10th Gen Intel Core i5 10310U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,14.0,1920,1080,Windows 10  OS,1,https://get4lessghana.com/wp-content/uploads/2022/08/DELL-LATITUDE-3310-CORE-I5-G8-4.jpg
731,Asus,Vivobook Pro 15 M6500QC-LK742WS Laptop,76990,72.0,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1,https://th.bing.com/th/id/OIP.Voak2nzT9vux_Vxkf-vj9QHaFj?rs=1&pid=ImgDetMain
732,Fujitsu,UH-X ‎4ZR1L12857 Laptop,74990,66.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14.0,1920,1200,Windows 11 OS,2,https://th.bing.com/th/id/OIP.hojAVs6u4pCoT5B_1plawwHaEK?rs=1&pid=ImgDetMain
733,Fujitsu,UH-X ‎4ZR1L12856 Laptop,89990,73.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14.0,1920,1200,Windows 11 OS,2,https://images.fonearena.com/blog/wp-content/uploads/2021/07/Fujitsu-UH-X-series-1.jpg
734,HP,15s-fq3073TU Laptop Intel Pentium Silver N6000/ 8GB/ 512GB SSD/ Win11 Home),29999,69.32352941,Intel Pentium Silver   N6000 ,"Quad Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD Graphics,15.6,1366,768,Windows 11  OS,1,https://th.bing.com/th/id/OIP._iw9LSd2tZC9NxH-dWqlgAHaF7?rs=1&pid=ImgDetMain
735,HP,ZBook Firefly 16 G9 2023 Workstation Laptop,97705,67.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA RTX A500 ,16.0,1920,1200,Windows 11 OS,1,https://www.bhphotovideo.com/explora/sites/default/files/01-HP-Zbook-Firefly.png
736,HP,ZBook Studio G9 16 Workstation WQUXGA Laptop,240707,89.0,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",32GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 3060,16.0,3840,2400,Windows 11 OS,1,https://th.bing.com/th/id/OIP.W5gS4N_CWHJlNqog24Ov7QHaEK?rs=1&pid=ImgDetMain
737,HP,ZBook Studio G9 WUXGA Workstation Laptop,234990,83.0,12th Gen Intel Core i7 12700H ,"14 Cores (6P + 8E), 20 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 3070 Ti ,16.0,1920,1200,Windows 11 OS,1,https://sm.pcmag.com/t/pcmag_uk/review/h/hp-zbook-s/hp-zbook-studio-g9_ysew.3840.jpg
738,HP,ZBook Studio G9 16 WUXGA Workstation Laptop,209990,80.0,12th Gen Intel Core i7 12700H ,"14 Cores (6P + 8E), 20 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 3060,16.0,1920,1200,Windows 11 OS,1,https://cdn.mos.cms.futurecdn.net/fq7cdvsUHGZ8fbeFRFG66Q-1200-80.jpg
739,HP,ZBook Studio G9 2023 Workstation WQUXGA Laptop,390914,69.32352941,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",32GB,DDR5,1TB,SSD,12GB NVIDIA GeForce RTX 3080 Ti,16.0,3840,2400,Windows 11 OS,1,https://th.bing.com/th/id/OIP.z0qthaALKVgWtNzlmA7yigHaFD?rs=1&pid=ImgDetMain
740,HP,ZBook Studio G9 Workstation WQUXGA Laptop,172588,84.0,12th Gen Intel Core i7 12700H ,"14 Cores (6P + 8E), 20 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 3060,16.0,3840,2400,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iAf7Hwpem-w1200-h1200/Af7Hwpem.jpg
741,HP,ZBook Studio G9 Workstation Laptop,254657,86.0,12th Gen Intel Core i7 12700H ,"14 Cores (6P + 8E), 20 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 3070 Ti ,16.0,3840,2400,Windows 11 OS,1,https://cdn.mos.cms.futurecdn.net/fq7cdvsUHGZ8fbeFRFG66Q-1200-80.jpg
742,LG,gram360 16 Laptop,152499,78.0,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics ,16.0,1600,2560,Windows 11 OS,1,https://cdn1.smartprix.com/rx-iNCCmTEk5-w1200-h1200/NCCmTEk5.jpg
743,Lenovo,IdeaPad 1 82V6005CIN Laptop,23990,69.32352941,Intel Celeron  N4020 ,"Dual Core, 2 Threads",4GB,DDR4,256GB,SSD,Intel UHD Graphics 600,11.6,1366,768,Windows 11 OS,1,https://cdn1.smartprix.com/rx-inpVJjbsY-w1200-h1200/npVJjbsY.jpg
